ref,reason,address,city,state
"358055","AIRPORT","O'Hare Airport","Chicago","IL"
"310194","NO_COORDS","81 Oakland St","Manchester","CT"
"342633","NO_COORDS","162-25 Liberty Ave","Jamaica","NY"
"361797","NO_COORDS","934 Kings Hwy","Brooklyn","NY"
"358146","NO_COORDS","127 W State Highway 302","Kermit","TX"
"342605","NO_COORDS","5 East St","Tewksbury","MA"
"358184","AIRPORT","JFK Intl Airport","Jamaica","NY"
"346222","AIRPORT","Ft Myers Intl Airport","Fort Myers","FL"
"336890","NO_COORDS","30 Station Pl","Stamford","CT"
"352063","AIRPORT","Newark Int'L Airport","Newark","NJ"
"353408","NO_COORDS","3475 Route 370","Cato","NY"
"353469","NO_COORDS","4410 NW Cr 326","Ocala","FL"
"348945","NO_COORDS","296 White Horse Park","Atco","NJ"
"342876","NO_COORDS","374 South St","Newark","NJ"
"339270","NO_COORDS","1535 W Grand Ave","Chicago","IL"
"357063","NO_COORDS","15455 Terrazzo Dr","Monument","CO"
"358447","MALL","1151 Glendale Galleria","Glendale","CA"
"335784","NO_COORDS","1510 Brayton Ave","Fall River","MA"
"357132","NO_COORDS","Pittsburgh International Airport","Coraopolis","PA"
"341685","NO_COORDS","10 Andrews Parkway","Devens","MA"
"353636","MALL","33A W Side Mall","Edwardsville","PA"
"353690","AIRPORT","Harrisburg Int'L Airport","Middletown","PA"
"341639","NO_COORDS","3197 Horseblock Road","Medford","NY"
"345299","STADIUM_ARENA","100 Legends Way","Boston","MA"
"357242","NO_COORDS","3206 W Trinity Blvd","Grand Prairie","TX"
"347845","NO_COORDS","Bradley Int'L Airport","Windsor Locks","CT"
"351122","AIRPORT","Greenville-Spartanburg Airport","Greer","SC"
"351125","AIRPORT","Bush Intl Airport","Houston","TX"
"351165","NO_COORDS","70 Route 4","Englewood","NJ"
"351137","AIRPORT","JFK Intl Airport","Jamaica","NY"
"356013","CLOSED_AT_SOURCE","650 Memorial Dr","Chicopee","MA"
"357348","AIRPORT","Orlando Melbourne Airport","Melbourne","FL"
"347937","NO_COORDS","7073 Route 281","Preble","NY"
"308353","AIRPORT","Logan Airport","East Boston","MA"
"308352","AIRPORT","Logan Airport","East Boston","MA"
"352584","NO_COORDS","116 S Custer Rd","McKinney","TX"
"351243","AIRPORT","Midway Int'L Airport","Chicago","IL"
"353801","AIRPORT","Ronald Reagan Airport","Arlington","VA"
"353800","AIRPORT","Ronald Reagan Airport","Arlington","VA"
"353807","NO_COORDS","825 27th Ave SW","Vero Beach","FL"
"352523","NO_COORDS","Hartsfield Jackson Atl Airport","Atlanta","GA"
"353835","AIRPORT","Wichita Airport","Wichita","KS"
"353847","NO_COORDS","JFK Intl Airport","Jamaica","NY"
"356137","AIRPORT","Wilkes Barre Scranton Airport","Pittston","PA"
"334756","AIRPORT","Logan Airport","East Boston","MA"
"334763","NO_COORDS","30 Lackey Dam Rd","Uxbridge","MA"
"357424","MALL","2560 McCarthy Mall","Honolulu","HI"
"351353","AIRPORT","Denver Intl Airport","Denver","CO"
"351343","NO_COORDS","Miami Int'L Airport","Miami","FL"
"353944","NO_COORDS","104 West Central Entrance","Duluth","MN"
"353975","NO_COORDS","1754 S Hanley Rd","Richmond Heights","MO"
"340668","STADIUM_ARENA","One Legends Way","Boston","MA"
"302363","NO_COORDS","290 Route 130","Sandwich","MA"
"350092","AIRPORT","Dulles Intl Airport","Sterling","VA"
"351476","NO_COORDS","5762 Easton Rd","Plumsteadville","PA"
"340762","NO_COORDS","100 Rt 131","Ascutney","VT"
"344373","NO_COORDS","500 West Farms Mall","West Hartford","CT"
"344311","NO_COORDS","13029 S Lagrange Rd","Palos Park","IL"
"345665","NO_COORDS","1053 Farmington Ave","Bristol","CT"
"349289","STADIUM_ARENA","One Metlife Stadium Dr","E Rutherford","NJ"
"349291","NO_COORDS","JFK Intl Airport","Jamaica","NY"
"349292","AIRPORT","Dulles International Airport","Sterling","VA"
"352832","NO_COORDS","1633 S Higley Rd","Gilbert","AZ"
"337268","NO_COORDS","1237 N Eola Rd","Aurora","IL"
"349238","AIRPORT","Houston Hobby Airport","Houston","TX"
"344435","AIRPORT","Logan Airport","East Boston","MA"
"355122","MILITARY","Naval Exchange Building 2017","Coronado","CA"
"355128","MALL","80 Cherry Tree Shopping Ctr","Washington","IL"
"338698","NO_COORDS","2241 Southern Blvd","Bronx","NY"
"343291","NO_COORDS","475 E Route 173","Antioch","IL"
"351749","NO_COORDS","3575 N US Highway 31 S","Traverse City","MI"
"350449","MALL","150 Quaker Bridge Mall","Lawrenceville","NJ"
"342090","AIRPORT","Dulles Intl Airport","Sterling","VA"
"342011","NO_COORDS","2380 South Eola Rd","Aurora","IL"
"343320","NO_COORDS","318 Adams St","Manchester","CT"
"355376","MALL","1000 Premium Outlets Dr","Tannersville","PA"
"342056","AIRPORT","Dulles Intl Airport","Sterling","VA"
"332777","MALL","11 Skyway Shopping Ctr","Plattsburgh","NY"
"351908","NO_COORDS","48 Pennsylvania 93","West Hazleton","PA"
"337643","NO_COORDS","Shirley Memorial Hwy","Washington","DC"
